Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
34	:	1471550276.401	     4.056	0	1907	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/isnd31113da2
36	:	1471550276.406	     4.057	0	1907	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/isnd33460el2
25	:	1471550276.294	     4.189	0	1947	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/ocd9004596739no1
37	:	1471550276.415	     4.077	0	1907	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/isnd33822ep3
38	:	1471550276.419	     4.133	0	1907	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/isnd33998et2
22	:	1471550276.259	     4.302	0	1927	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/pvhnd40504bij2
30	:	1471550276.371	     4.246	0	1947	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/ocd4001131646mp1
33	:	1471550276.396	     4.334	0	1907	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/isnd29380bu3
28	:	1471550276.322	     4.424	0	1957	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/lgsepgp016252ahe3
41	:	1471550280.032	     3.898	0	1907	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/isnd36563ga2
44	:	1471550280.297	     3.639	0	1917	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/lgsnd31576jm3
42	:	1471550280.133	     3.813	0	1917	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/isnd39426aio2
47	:	1471550280.362	     3.598	0	1917	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/lgsnd32647kl2
46	:	1471550280.305	     3.667	0	1917	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/lgsnd32563jz3
45	:	1471550280.301	     3.722	0	1917	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/lgsnd32500jx2
43	:	1471550280.282	     3.789	0	1917	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/isnd39427aio3
55	:	1471550280.495	     3.855	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod007
49	:	1471550280.394	     3.973	0	1917	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/lgsnd36607lf3
50	:	1471550280.445	     3.990	0	1927	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/lgsnd38173bhb2
48	:	1471550280.390	     4.095	0	1917	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/lgsnd35819lf2
52	:	1471550280.461	     4.137	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod002
51	:	1471550280.450	     4.154	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod001
58	:	1471550280.622	     4.000	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod010
57	:	1471550280.564	     4.082	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod009
54	:	1471550280.487	     4.164	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod005
53	:	1471550280.467	     4.191	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod003
56	:	1471550280.556	     4.109	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod008
59	:	1471550280.735	     3.936	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod011
60	:	1471550280.750	     3.927	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod012
62	:	1471550283.940	     3.703	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod015
65	:	1471550283.977	     3.671	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod024
66	:	1471550284.028	     3.623	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod026
67	:	1471550284.075	     3.579	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod027
72	:	1471550284.604	     3.054	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod037
70	:	1471550284.439	     3.245	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod032
68	:	1471550284.353	     3.355	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod029
64	:	1471550283.965	     3.775	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod023
63	:	1471550283.950	     3.794	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod021
61	:	1471550283.935	     3.815	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod014
73	:	1471550284.609	     3.302	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod040
69	:	1471550284.372	     3.588	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod031
71	:	1471550284.490	     3.473	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod033
80	:	1471550284.682	     3.289	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod051
78	:	1471550284.670	     3.304	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod048
75	:	1471550284.651	     3.328	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod042
77	:	1471550284.665	     3.318	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod046
74	:	1471550284.628	     3.358	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod041
79	:	1471550284.676	     3.312	0	1917	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/pvhnd35978nr2
76	:	1471550284.658	     3.358	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod045
82	:	1471550287.651	     3.421	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod053
84	:	1471550287.658	     3.496	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod055
88	:	1471550287.744	     3.555	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod060
90	:	1471550287.755	     3.550	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod062
83	:	1471550287.655	     3.687	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod054
91	:	1471550287.917	     3.473	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod063
85	:	1471550287.662	     3.769	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod056
81	:	1471550287.647	     3.787	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod052
87	:	1471550287.713	     3.734	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod058
92	:	1471550287.963	     3.496	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod064
86	:	1471550287.689	     3.777	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod057
93	:	1471550287.968	     3.536	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod065
89	:	1471550287.750	     3.759	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod061
97	:	1471550287.985	     3.528	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod069
96	:	1471550287.982	     3.572	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod068
95	:	1471550287.978	     3.584	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod067
94	:	1471550287.974	     3.592	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod066
98	:	1471550287.989	     3.583	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod070
99	:	1471550287.993	     3.615	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod071
100	:	1471550288.019	     3.924	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod072
101	:	1471550291.076	     3.870	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod074
102	:	1471550291.158	     3.792	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod075
108	:	1471550291.439	     3.719	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod081
105	:	1471550291.348	     3.820	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod078
109	:	1471550291.452	     3.722	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod082
113	:	1471550291.512	     3.671	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod086
106	:	1471550291.394	     3.809	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod079
104	:	1471550291.309	     3.915	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod077
116	:	1471550291.566	     3.678	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod090
103	:	1471550291.305	     3.948	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod076
110	:	1471550291.463	     3.819	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod083
112	:	1471550291.508	     3.824	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod085
114	:	1471550291.517	     3.819	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod088
115	:	1471550291.559	     3.780	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod089
119	:	1471550291.613	     3.762	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod093
111	:	1471550291.470	     3.921	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod084
107	:	1471550291.435	     3.979	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod080
117	:	1471550291.572	     3.927	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod091
118	:	1471550291.580	     4.016	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod092
120	:	1471550291.947	     3.776	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod094
122	:	1471550294.953	     5.493	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod096
129	:	1471550295.249	     5.270	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod104
123	:	1471550295.161	     5.375	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod097
132	:	1471550295.336	     5.217	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod107
125	:	1471550295.179	     5.386	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod100
124	:	1471550295.172	     5.450	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod099
128	:	1471550295.229	     5.405	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod103
134	:	1471550295.343	     5.297	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod109
127	:	1471550295.208	     5.549	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod102
131	:	1471550295.286	     5.609	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod106
139	:	1471550295.601	     5.332	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod114
133	:	1471550295.340	     5.646	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod108
137	:	1471550295.417	     5.575	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod112
136	:	1471550295.394	     5.622	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod111
121	:	1471550294.950	     6.134	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod095
126	:	1471550295.188	     6.006	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod101
135	:	1471550295.379	     5.901	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod110
140	:	1471550295.727	     5.674	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod115
138	:	1471550295.503	     5.970	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod113
142	:	1471550300.523	     3.914	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod119
143	:	1471550300.541	     3.925	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod120
141	:	1471550300.451	     4.066	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod118
146	:	1471550300.627	 10100.662	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod125
162	:	1471550304.521	 11602.641	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod145
158	:	1471550301.404	 11996.555	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod138
147	:	1471550300.639	 12118.121	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod126
148	:	1471550300.644	 12176.882	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod127
161	:	1471550304.472	 12762.340	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod143
152	:	1471550300.990	 12886.892	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod131
155	:	1471550301.090	 12901.594	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod135
153	:	1471550300.995	 13066.965	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod133
149	:	1471550300.762	 13140.236	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod128
159	:	1471550301.478	 13204.460	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod141
151	:	1471550300.937	 13308.273	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod130
156	:	1471550301.199	 13382.529	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod136
150	:	1471550300.900	 13700.702	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod129
154	:	1471550301.021	 13790.480	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod134
145	:	1471550300.569	 14512.509	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod123
157	:	1471550301.285	 15173.227	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod137
130	:	1471550295.258	 15512.537	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod105
163	:	1471560401.309	  9411.986	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod146
160	:	1471550304.441	 19749.893	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod142
167	:	1471562477.532	  9210.457	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod150
172	:	1471563441.004	  9338.098	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod155
170	:	1471563202.691	  9606.917	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod153
169	:	1471563187.889	  9735.151	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod152
175	:	1471563683.736	  9788.731	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod158
176	:	1471564001.610	  9827.441	0	1877	0	0	./luigi_test_wrapper.py /nfs/fastq16/ALIGNMENT/BUILD37/DRAGEN/GENOME/b57mod159
